state,city,population,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society
Alabama,Abbeville,"2,390",301,96,76,129
Alabama,Adamsville,"4,233",528,72,332,124
Alabama,Addison,672,72,20,41,11
Alabama,Alabaster,"33,974","1,524",293,979,252
Alabama,Alexander City,"14,476","1,834",696,816,322
Alabama,Aliceville,"2,081",13,5,7,1
Alabama,Andalusia,"8,699",859,405,404,50
Alabama,Anniston,"21,007","2,825",991,"1,569",265
Alabama,Arab,"8,550","1,064",342,488,234
Alabama,Ardmore,"1,406",59,11,36,12
Alabama,Argo,"4,421",83,23,36,24
Alabama,Ashford,"2,255",30,13,14,3
Alabama,Ashland,"1,962",143,72,58,13
Alabama,Ashville,"2,376",163,33,65,65
Alabama,Athens,"28,438","1,601",409,"1,029",163
Alabama,Atmore,"8,536","1,560",500,646,414
Alabama,Attalla,"5,840",623,108,400,115
Alabama,Auburn,"80,759","3,365",827,"1,662",876
Alabama,Autaugaville,787,12,3,3,6
Alabama,Bay Minette,"8,000",851,229,226,396
Alabama,Bayou La Batre,"2,166",563,139,218,206
Alabama,Bear Creek,"1,047",78,6,36,36
Alabama,Berry,"1,193",52,8,9,35
Alabama,Bessemer,"25,265","4,614","1,074","3,073",467
Alabama,Birmingham,"195,050","24,360","6,369","16,282","1,709"
Alabama,Blountsville,"1,825",131,51,46,34
Alabama,Brent,"2,995",351,88,161,102
Alabama,Brewton,"5,251",645,202,290,153
Alabama,Bridgeport,"2,256",190,56,101,33
Alabama,Brookside,"1,218",48,8,24,16
Alabama,Brundidge,"2,053",177,73,102,2
Alabama,Butler,"1,846",185,46,65,74
Alabama,Camden,"1,808",62,24,23,15
Alabama,Camp Hill,977,40,13,19,8
Alabama,Carbon Hill,"1,714",165,32,60,73
Alabama,Castleberry,469,12,6,6,0
Alabama,Cedar Bluff,"1,879",318,43,82,193
Alabama,Centre,"3,546",578,91,281,206
Alabama,Centreville,"2,803",224,67,86,71
Alabama,Chatom,"1,034",28,12,14,2
Alabama,Cherokee,958,96,23,41,32
Alabama,Chickasaw,"6,333",463,179,195,89
Alabama,Childersburg,"4,631",224,57,120,47
Alabama,Citronelle,"3,916",180,77,82,21
Alabama,Clanton,"8,799","1,006",259,447,300
Alabama,Clayhatchee,473,35,12,17,6
Alabama,Clayton,"2,258",53,21,28,4
Alabama,Cleveland,"1,242",48,16,24,8
Alabama,Coffeeville,260,8,3,1,4
Alabama,Collinsville,"2,029",87,25,36,26
Alabama,Columbia,691,8,2,3,3
Alabama,Columbiana,"4,347",336,77,191,68
Alabama,Coosada,"1,276",103,20,23,60
Alabama,Cordova,"1,663",297,77,115,105
Alabama,Cottonwood,"1,046",63,19,30,14
Alabama,Creola,"1,936",150,41,64,45
Alabama,Crossville,"1,810",32,9,4,19
Alabama,Cullman,"19,065","1,439",267,976,196
Alabama,Dadeville,"2,962",373,72,109,192
Alabama,Daleville,"4,876",342,108,188,46
Alabama,Daphne,"29,871",782,176,376,230
Alabama,Dauphin Island,"1,843",125,23,38,64
Alabama,Decatur,"57,831","3,949","1,457","2,262",230
Alabama,Demopolis,"6,885",790,276,390,124
Alabama,Dora,"2,281",407,37,112,258
Alabama,Dothan,"71,196","9,279","2,780","3,683","2,816"
Alabama,Double Springs,"1,083",66,19,35,12
Alabama,Douglas,765,91,35,35,21
Alabama,East Brewton,"2,261",135,51,67,17
Alabama,Eclectic,"1,234",76,25,43,8
Alabama,Elba,"3,398",560,171,221,168
Alabama,Elberta,"2,036",221,67,96,58
Alabama,Enterprise,"29,936","2,220",765,"1,164",291
Alabama,Eufaula,"12,528","1,092",328,586,178
Alabama,Eutaw,"2,823",35,14,21,0
Alabama,Evergreen,"3,309",131,43,64,24
Alabama,Excel,546,85,31,42,12
Alabama,Fairhope,"23,747","1,181",229,591,361
Alabama,Fayette,"4,132",243,79,114,50
Alabama,Flomaton,"1,455",261,51,124,86
Alabama,Florala,"1,904",233,56,82,95
Alabama,Florence,"40,063","4,292",975,"1,796","1,521"
Alabama,Foley,"23,629","1,398",343,687,368
Alabama,Fort Deposit,"1,154",107,42,62,3
Alabama,Fort Payne,"14,845",897,291,443,163
Alabama,Frisco City,"1,156",43,14,27,2
Alabama,Fultondale,"9,699",659,103,455,101
Alabama,Gadsden,"33,521","3,537","1,170","2,313",54
Alabama,Gardendale,"16,861","1,110",290,609,211
Alabama,Geneva,"4,169",381,111,156,114
Alabama,Georgiana,"1,303",94,29,50,15
Alabama,Geraldine,910,37,14,18,5
Alabama,Gilbertown,721,16,5,9,2
Alabama,Glencoe,"5,406",118,19,49,50
Alabama,Gordo,"1,590",24,4,14,6
Alabama,Gordon,293,17,3,9,5
Alabama,Grant,"1,042",63,15,35,13
Alabama,Greensboro,"2,179",0,0,0,0
Alabama,Guin,"2,158",74,21,30,23
Alabama,Gulf Shores,"16,274","1,375",332,696,347
Alabama,Guntersville,"8,858","1,013",263,468,282
Alabama,Gurley,826,66,16,42,8
Alabama,Hackleburg,"1,430",41,17,17,7
Alabama,Haleyville,"4,366",694,153,292,249
Alabama,Hanceville,"3,261",293,90,117,86
Alabama,Harpersville,"1,752",111,33,41,37
Alabama,Hartford,"2,666",100,28,27,45
Alabama,Hartselle,"15,626",524,174,247,103
Alabama,Hayden,"1,328",78,22,45,11
Alabama,Hayneville,751,14,5,5,4
Alabama,Headland,"5,320",320,66,129,125
Alabama,Heflin,"3,402",156,43,71,42
Alabama,Helena,"22,035",581,134,281,166
Alabama,Henagar,"2,293",77,25,38,14
Alabama,Hillsboro,408,1,1,0,0
Alabama,Hokes Bluff,"4,451",78,22,42,14
Alabama,Hollywood,921,137,21,47,69
Alabama,Homewood,"25,788",810,162,552,96
Alabama,Hoover,"92,491","3,621",768,"2,269",584
Alabama,Hueytown,"16,313","1,161",314,712,135
Alabama,Huntsville,"218,897","9,169","2,957","5,358",854
Alabama,Ider,743,86,19,45,22
Alabama,Irondale,"13,528",778,139,403,236
Alabama,Jackson,"4,576",434,119,205,110
Alabama,Jacksons Gap,757,64,23,38,3
Alabama,Jacksonville,"13,025","1,154",438,407,309
Alabama,Jasper,"14,312","1,565",386,857,322
Alabama,Jemison,"2,662",321,86,128,107
Alabama,Killen,"1,043",53,15,28,10
Alabama,Kimberly,"4,036",115,21,53,41
Alabama,Kinsey,"2,290",20,1,6,13
Alabama,Kinston,589,122,57,61,4
Alabama,LaFayette,"2,579",96,28,56,12
Alabama,Lake View,"3,709",112,41,48,23
Alabama,Lanett,"6,716",507,140,309,58
Alabama,Leeds,"12,206",985,169,416,400
Alabama,Leesburg,914,139,8,13,118
Alabama,Leighton,662,41,7,19,15
Alabama,Level Plains,"1,823",107,30,63,14
Alabama,Lincoln,"7,256",659,242,273,144
Alabama,Linden,"1,856",125,48,50,27
Alabama,Lineville,"2,469",167,24,18,125
Alabama,Lipscomb,"2,018",10,5,4,1
Alabama,Littleville,"1,041",33,11,16,6
Alabama,Livingston,"3,112",123,57,61,5
Alabama,Lockhart,445,0,0,0,0
Alabama,Luverne,"2,658",142,49,82,11
Alabama,Maplesville,643,63,10,25,28
Alabama,Margaret,"5,685",132,40,60,32
Alabama,McIntosh,198,79,29,36,14
Alabama,Mentone,322,15,3,11,1
Alabama,Midfield,"5,036",173,61,109,3
Alabama,Midland City,"2,285",236,64,125,47
Alabama,Millbrook,"17,567","1,237",367,626,244
Alabama,Millport,960,26,2,9,15
Alabama,Millry,439,14,3,11,0
Alabama,Mobile,"239,323","21,614","8,076","11,082","2,456"
Alabama,Monroeville,"5,797",450,201,216,33
Alabama,Montevallo,"7,517",305,74,152,79
Alabama,Moody,"13,862",556,119,243,194
Alabama,Morris,"2,246",71,14,19,38
Alabama,Moulton,"3,353",470,81,249,140
Alabama,Mountain Brook,"21,910",682,38,476,168
Alabama,Mount Vernon,"1,371",96,31,47,18
Alabama,Muscle Shoals,"16,917","1,281",343,665,273
Alabama,Napier Field,410,23,7,8,8
Alabama,New Brockton,"1,453",65,31,31,3
Alabama,New Hope,"2,884",102,26,65,11
Alabama,Newton,"1,615",118,35,80,3
Alabama,North Courtland,486,8,3,2,3
Alabama,Northport,"30,901","1,896",576,917,403
Alabama,Notasulga,894,16,4,11,1
Alabama,Odenville,"5,026",278,81,116,81
Alabama,Ohatchee,"1,203",152,59,43,50
Alabama,Oneonta,"6,798",622,118,378,126
Alabama,Opelika,"32,010","3,370","1,152","1,434",784
Alabama,Opp,"6,641",572,170,238,164
Alabama,Orange Beach,"8,530",754,144,400,210
Alabama,Owens Cross Roads,"2,648",107,19,59,29
Alabama,Oxford,"22,318","1,380",298,790,292
Alabama,Ozark,"14,299","1,953",447,856,650
Alabama,Parrish,977,87,23,47,17
Alabama,Pelham,"24,920","1,050",251,597,202
Alabama,Pell City,"13,607",949,231,469,249
Alabama,Pennington,329,0,0,0,0
Alabama,Phenix City,"38,076","3,926","1,500","2,265",161
Alabama,Phil Campbell,988,41,9,24,8
Alabama,Pickensville,545,3,1,2,0
Alabama,Piedmont,"4,779",58,17,21,20
Alabama,Pine Hill,751,55,21,22,12
Alabama,Pleasant Grove,"9,454",404,121,192,91
Alabama,Prattville,"38,679","2,630",683,"1,546",401
Alabama,Priceville,"3,822",174,41,42,91
Alabama,Prichard,"18,936","1,289",599,644,46
Alabama,Ragland,"1,715",82,35,27,20
Alabama,Rainbow City,"10,150",377,82,205,90
Alabama,Rainsville,"5,685",64,14,26,24
Alabama,Ranburne,420,33,4,9,20
Alabama,Red Bay,"3,177",166,44,77,45
Alabama,Red Level,431,1,0,1,0
Alabama,Repton,230,5,1,4,0
Alabama,Riverside,"2,265",97,39,53,5
Alabama,Robertsdale,"7,116",603,184,357,62
Alabama,Rogersville,"1,370",181,11,40,130
Alabama,Russellville,"10,768",821,183,356,282
Alabama,Samson,"1,856",72,16,21,35
Alabama,Saraland,"16,459","1,054",300,445,309
Alabama,Sardis City,"1,787",85,19,40,26
Alabama,Satsuma,"6,811",119,49,50,20
Alabama,Selma,"17,296",955,434,496,25
Alabama,Shorter,366,1,0,1,0
Alabama,Silverhill,"1,341",75,31,27,17
Alabama,Skyline,843,16,7,1,8
Alabama,Slocomb,"2,099",26,5,18,3
Alabama,Snead,"1,023",111,33,38,40
Alabama,Somerville,802,45,8,16,21
Alabama,Southside,"9,524",72,19,43,10
Alabama,Spanish Fort,"10,689",404,85,245,74
Alabama,Springville,"5,048",190,56,82,52
Alabama,Stevenson,"1,963",168,71,54,43
Alabama,St. Florian,704,84,22,43,19
Alabama,Sulligent,"1,806",90,33,41,16
Alabama,Sumiton,"2,405",140,23,84,33
Alabama,Summerdale,"1,587",213,57,88,68
Alabama,Sweet Water,221,0,0,0,0
Alabama,Sylacauga,"12,205","1,113",435,478,200
Alabama,Sylvania,"1,805",65,21,34,10
Alabama,Talladega,"15,448","1,607",577,578,452
Alabama,Tallassee,"4,816",846,271,459,116
Alabama,Tarrant,"5,913",942,343,491,108
Alabama,Thomasville,"3,518",301,88,129,84
Alabama,Thorsby,"2,117",106,40,23,43
Alabama,Trafford,598,8,1,4,3
Alabama,Triana,"3,829",57,24,29,4
Alabama,Trinity,"2,553",251,88,98,65
Alabama,Troy,"17,639","1,823",747,773,303
Alabama,Trussville,"26,561","1,921",252,"1,022",647
Alabama,Tuscaloosa,"101,280","9,362","2,740","4,639","1,983"
Alabama,Tuscumbia,"9,081",114,26,54,34
Alabama,Tuskegee,"8,600",483,191,275,17
Alabama,Union Springs,"3,301",297,137,145,15
Alabama,Valley,"10,475","1,239",297,658,284
Alabama,Vernon,"1,833",194,49,91,54
Alabama,Vestavia Hills,"38,515","1,502",122,569,811
Alabama,Walnut Grove,773,0,0,0,0
Alabama,Warrior,"3,189",43,18,19,6
Alabama,Weaver,"3,394",604,108,148,348
Alabama,Wedowee,719,108,33,60,15
Alabama,Wetumpka,"7,317",813,124,341,348
Alabama,Winfield,"4,805",409,93,232,84
Alabama,Woodstock,"1,691",211,72,80,59
Alabama,York,"2,387",2,2,0,0
Alaska,Bethel,"6,267",266,223,43,0
Alaska,Bristol Bay Borough,846,38,20,16,2
Alaska,Cordova,"2,160",41,25,12,4
Alaska,Craig,"1,028",22,15,4,3
Alaska,Fairbanks,"32,785","2,964",774,"2,064",126
Alaska,Haines,"2,058",31,10,20,1
Alaska,Homer,"5,894",222,66,124,32
Alaska,Kenai,"7,713",380,98,218,64
Alaska,Ketchikan,"7,953",187,74,98,15
Alaska,Kodiak,"5,357",255,99,97,59
Alaska,Kotzebue,"3,041",267,206,60,1
Alaska,Nome,"3,546",298,251,45,2
Alaska,North Pole,"2,335",110,20,80,10
Alaska,North Slope Borough,"10,959",530,282,199,49
Alaska,Palmer,"6,305",234,77,123,34
Alaska,Petersburg,"3,314",94,25,65,4
Alaska,Seward,"2,667",117,35,72,10
Alaska,Sitka,"8,392",134,71,63,0
Alaska,Skagway,"1,035",5,0,5,0
Alaska,Soldotna,"4,527",233,73,141,19
Alaska,Unalaska,"3,908",54,24,28,2
Alaska,Valdez,"3,839",56,30,21,5
Alaska,Wasilla,"9,809",756,145,450,161
Alaska,Wrangell,"1,984",19,10,8,1
Arizona,Apache Junction,"41,099","2,603",692,"1,217",694
Arizona,Avondale,"91,467","6,855","1,831","3,789","1,235"
Arizona,Bisbee,"4,909",140,51,47,42
Arizona,Buckeye,"110,002","3,253",900,"1,889",464
Arizona,Camp Verde,"12,362",674,175,411,88
Arizona,Casa Grande,"61,271","4,295","1,351","2,178",766
Arizona,Chandler,"281,373","14,185","2,892","8,644","2,649"
Arizona,Chino Valley,"13,875",368,104,154,110
Arizona,Clarkdale,"4,815",112,33,53,26
Arizona,Coolidge,"16,027","1,173",242,591,340
Arizona,Douglas,"16,529",570,130,249,191
Arizona,Eagar,"4,448",63,20,26,17
Arizona,El Mirage,"36,039","1,643",488,694,461
Arizona,Eloy,"15,717","1,030",267,549,214
Arizona,Fredonia,"1,330",8,3,4,1
Arizona,Gilbert,"277,123","10,694","2,360","6,068","2,266"
Arizona,Goodyear,"107,212","4,397",716,"2,967",714
Arizona,Huachuca City,"1,622",61,16,38,7
Arizona,Kingman,"34,803","2,630",548,"1,803",279
Arizona,Lake Havasu City,"59,166","2,697",989,"1,250",458
Arizona,Litchfield Park,"6,989",244,78,157,9
Arizona,Marana,"57,119","2,957",344,"1,725",888
Arizona,Maricopa,"66,525","1,944",535,854,555
Arizona,Mesa,"513,116","31,347","7,719","13,558","10,070"
Arizona,Oro Valley,"48,441","1,407",142,967,298
Arizona,Page,"7,328",965,333,539,93
Arizona,Paradise Valley,"12,663",413,41,355,17
Arizona,Parker,"3,263",198,29,133,36
Arizona,Payson,"16,638","1,042",257,480,305
Arizona,Peoria,"197,894","8,249","1,834","5,024","1,391"
Arizona,Pinetop-Lakeside,"4,179",325,76,206,43
Arizona,Prescott,"47,878","2,996","1,069","1,461",466
Arizona,Prescott Valley,"49,422","2,426",718,"1,094",614
Arizona,Queen Creek,"72,229","1,889",622,"1,089",178
Arizona,Sahuarita,"36,229","1,021",292,563,166
Arizona,San Luis,"38,528",558,115,281,162
Arizona,Show Low,"12,157","1,000",263,510,227
Arizona,Sierra Vista,"45,611","2,463",612,"1,076",775
Arizona,Snowflake-Taylor,"10,834",497,148,299,50
Arizona,Somerton,"14,480",305,110,175,20
Arizona,Springerville,"1,706",21,16,4,1
Arizona,Superior,"2,528",257,68,167,22
Arizona,Surprise,"154,128","4,779","1,237","2,898",644
Arizona,Tempe,"187,473","20,549","4,726","12,115","3,708"
Arizona,Tombstone,"1,308",136,46,51,39
Arizona,Wellton,"2,528",76,20,42,14
Arizona,Willcox,"3,202",258,69,117,72
Arizona,Williams,"3,316",274,105,158,11
Arizona,Yuma,"98,164","5,272","1,114","3,219",939
Arkansas,Alexander,"3,798",386,121,139,126
Arkansas,Alma,"5,874",527,189,262,76
Arkansas,Arkadelphia,"10,233",450,126,293,31
Arkansas,Ashdown,"4,150",376,58,129,189
Arkansas,Ash Flat,"1,128",55,11,28,16
Arkansas,Atkins,"2,864",162,42,101,19
Arkansas,Augusta,"1,928",29,5,22,2
Arkansas,Austin,"4,547",80,29,48,3
Arkansas,Bald Knob,"2,534",210,72,104,34
Arkansas,Barling,"4,894",323,73,99,151
Arkansas,Batesville,"11,129",565,119,318,128
Arkansas,Bay,"1,825",98,38,45,15
Arkansas,Beebe,"8,683",490,139,265,86
Arkansas,Bella Vista,"31,316",805,197,275,333
Arkansas,Benton,"36,282","2,867",653,"1,639",575
Arkansas,Bentonville,"58,871","2,238",565,"1,156",517
Arkansas,Berryville,"5,727",403,75,250,78
Arkansas,Blytheville,"12,732","1,513",568,819,126
Arkansas,Bonanza,601,29,12,5,12
Arkansas,Bono,"2,738",109,65,13,31
Arkansas,Booneville,"3,826",289,70,107,112
Arkansas,Bradford,681,28,11,17,0
Arkansas,Brookland,"4,355",214,75,89,50
Arkansas,Bryant,"21,407","1,688",303,"1,108",277
Arkansas,Bull Shoals,"1,948",73,23,25,25
Arkansas,Cabot,"26,750","1,513",389,843,281
Arkansas,Caddo Valley,589,74,16,41,17
Arkansas,Cammack Village,756,19,7,10,2
Arkansas,Caraway,"1,106",51,21,23,7
Arkansas,Carlisle,"1,991",168,53,104,11
Arkansas,Cave Springs,"6,218",35,10,23,2
Arkansas,Centerton,"21,927",590,111,184,295
Arkansas,Charleston,"2,642",159,82,74,3
Arkansas,Cherokee Village,"4,944",186,53,97,36
Arkansas,Cherry Valley,562,46,7,10,29
Arkansas,Clarendon,"1,476",159,43,115,1
Arkansas,Clarksville,"9,559",531,154,269,108
Arkansas,Conway,"66,487","6,772","1,706","3,474","1,592"
Arkansas,Corning,"3,124",137,45,53,39
Arkansas,Cotter,924,79,3,9,67
Arkansas,Crossett,"4,619",392,77,262,53
Arkansas,Damascus,384,4,1,3,0
Arkansas,Danville,"2,001",54,15,14,25
Arkansas,Dardanelle,"4,485",216,51,124,41
Arkansas,Decatur,"1,733",180,61,49,70
Arkansas,De Queen,"6,069",379,92,215,72
Arkansas,Des Arc,"1,844",40,2,21,17
Arkansas,DeWitt,"2,832",289,82,124,83
Arkansas,Diamond City,789,20,12,7,1
Arkansas,Diaz,"1,266",24,9,13,2
Arkansas,Dover,"1,335",51,9,28,14
Arkansas,Dumas,"3,796",241,84,124,33
Arkansas,Earle,"1,758",86,31,49,6
Arkansas,El Dorado,"17,037","1,853",669,970,214
Arkansas,Elkins,"3,828",142,48,52,42
Arkansas,England,"2,427",149,54,59,36
Arkansas,Etowah,243,6,0,6,0
Arkansas,Eudora,"1,664",106,39,52,15
Arkansas,Eureka Springs,"2,195",235,49,95,91
Arkansas,Fairfield Bay,"2,111",117,68,45,4
Arkansas,Farmington,"8,862",236,54,114,68
Arkansas,Fayetteville,"96,456","8,520","1,837","6,088",595
Arkansas,Flippin,"1,344",125,26,67,32
Arkansas,Fordyce,"3,254",406,154,239,13
Arkansas,Forrest City,"12,807","1,799",714,933,152
Arkansas,Fort Smith,"90,013","11,374","3,252","7,059","1,063"
Arkansas,Gassville,"2,208",257,25,72,160
Arkansas,Gentry,"4,156",249,62,36,151
Arkansas,Gillett,586,8,1,5,2
Arkansas,Goshen,"2,250",56,18,24,14
Arkansas,Gravette,"3,721",288,59,90,139
Arkansas,Greenbrier,"5,954",41,18,6,17
Arkansas,Green Forest,"3,081",276,85,93,98
Arkansas,Greenland,"1,215",27,6,18,3
Arkansas,Greenwood,"9,705",261,72,61,128
Arkansas,Greers Ferry,833,18,3,12,3
Arkansas,Gurdon,"1,847",86,46,29,11
Arkansas,Guy,743,17,8,9,0
Arkansas,Hackett,842,38,12,14,12
Arkansas,Hamburg,"2,425",147,47,72,28
Arkansas,Hampton,"1,191",38,18,15,5
Arkansas,Harrisburg,"2,199",161,64,59,38
Arkansas,Harrison,"13,350",784,150,399,235
Arkansas,Hartford,501,9,1,3,5
Arkansas,Haskell,"4,061",181,16,85,80
Arkansas,Hazen,"1,418",89,14,37,38
Arkansas,Heber Springs,"7,353",721,228,304,189
Arkansas,Helena-West Helena,"8,874",992,394,529,69
Arkansas,Highfill,"2,099",47,15,6,26
Arkansas,Highland,"1,041",43,9,23,11
Arkansas,Hope,"8,535",868,309,447,112
Arkansas,Hot Springs,"38,174","5,027",876,"3,540",611
Arkansas,Hoxie,"2,710",82,34,29,19
Arkansas,Jacksonville,"29,136","4,255","1,276","2,479",500
Arkansas,Johnson,"3,629",188,47,124,17
Arkansas,Jonesboro,"79,865","9,236","2,265","4,709","2,262"
Arkansas,Judsonia,"1,877",62,13,35,14
Arkansas,Kensett,"1,396",58,24,23,11
Arkansas,Lake City,"2,517",78,14,27,37
Arkansas,Lakeview,784,56,6,15,35
Arkansas,Lake Village,"1,984",179,60,107,12
Arkansas,Lamar,"1,738",45,13,29,3
Arkansas,Lavaca,"2,474",73,37,32,4
Arkansas,Leachville,"1,943",86,32,49,5
Arkansas,Lewisville,866,62,20,30,12
Arkansas,Lincoln,"2,309",145,46,52,47
Arkansas,Little Flock,"3,037",164,27,58,79
Arkansas,Little Rock,"201,513","32,027","11,209","18,925","1,893"
Arkansas,Lonoke,"4,128",382,124,215,43
Arkansas,Lowell,"10,402",509,101,231,177
Arkansas,Luxora,894,11,6,5,0
Arkansas,Magnolia,"11,059",833,141,573,119
